"speakers_name","speakers_post","speakers_linkedin_or_twitter_url"
"Ali Habbabeh","Blockchain lead at Roche","https://www.linkedin.com/in/ali-habbabeh/"
"Prof. Dr. Claudio   Tessone","Head UZH Blockchain Center","https://www.linkedin.com/in/claudiotessone/"
"Chris Shei","Founder at Thresholds.io","https://twitter.com/ckshei"
"Dieter Brockmeyer","Diplomatic World Group","https://www.linkedin.com/in/dieterbrockmeyer/"
"Stephanie Hurry","HIS at Crypto Finance Group","https://www.linkedin.com/in/stephanie-hurry/"
"Dr. Bernhard Kronfellner","Boston Consulting Group","https://www.linkedin.com/in/dr-bernhard-kronfellner-b27b19/?originalSubdomain=at"
"Viktoria Soltesz","Founder at PSP Angels","https://www.linkedin.com/in/viktoria-soltesz/"
"Brooks Entwistle","SVP Managing Director at Ripple","https://www.linkedin.com/in/brooks-entwistle-56330847/"
"Axel Roitzsch","Founder at Vanagon Ventures","https://www.linkedin.com/in/axelroitzsch/"
"Miller Whitehouse-Levine","DeFi Education Fund","https://www.linkedin.com/in/miller-whitehouse-levine-864b6b43/"
"Michael Lovell-Pank","Co-Founder at TrackFX","https://www.linkedin.com/in/michael-lp/"
"Paweł Łaskarzewski","Serial Enterpreneur","https://www.linkedin.com/in/pawellaskarzewski/?originalSubdomain=pl"
"Laura K. Inamedinova","CEO at LKI Consulting","https://www.linkedin.com/in/laurakornelija/"
"Frank Fitzgerald","Founder of PAX.WORLD","https://www.linkedin.com/in/frankfitzgerald/"
"Pascal Naegeli","Partner at i.AM Lab","https://ch.linkedin.com/in/pascal-naegeli-042b7423"
"Marty Florian","Blockchain Solutions at Vontobel","https://www.linkedin.com/in/florianmarty/?originalSubdomain=ch"
"Matthias Niedermüller","Niedermueller Attorneys","https://www.linkedin.com/in/matthias-niederm%C3%BCller-393871aa/"
"Alexander E. Brunner","Founder of Blockchain.swiss","https://www.linkedin.com/in/alexander-e-brunner-130576/?originalSubdomain=ch"
"Valeriya Minaeva","Partnerships at 1inch Network","https://www.linkedin.com/in/missminaeva/"
"Tim Bevan","Co-CEO at ETC Group","https://www.linkedin.com/in/tibevan/"
"Alexander Wüst","Head of Regulatory at Binance","https://www.linkedin.com/in/alexander-w%C3%BCst-217908a0/"
"Milan Amin","Marketing Director at Qredo","https://www.linkedin.com/in/milanamin/?originalSubdomain=uk"
"Julian La Picque","CFO at Chiliz","https://www.linkedin.com/in/julian-la-picque-5a8a622b/"
"Lars Schlichting","Kellerhals Carrard","https://www.linkedin.com/in/lars-schlichting-2a808113/"
"Eberhard Scheuer","Chairman at dHealth Foundation","https://ch.linkedin.com/in/eberhardscheuer"
"Batis Samadian","CEO of SPACE","https://www.linkedin.com/in/batissamadian/"
"Dr. Martha Boeckenfeld","Partner at Metaverse Academy","https://www.linkedin.com/in/dr-martha-boeckenfeld/?originalSubdomain=ch"
"Roxana Pistolea","NFT Legal Expert at Humans.ai","https://www.linkedin.com/in/roxanapistolea/"
"Peter Saddington","Founder at StaaS Fund","https://www.linkedin.com/in/petersaddington/"
"Kristina Lucrezia Cornèr","Editor-in-Chief of Cointelegraph","https://www.linkedin.com/in/kristina-lucrezia-corn%C3%A8r-816703154/"
"Joe Petrowski","Team Lead at Web3 Foundation","https://www.linkedin.com/in/joe-petrowski-73538929/"
"Prof. Dr. Philipp Sandner","Frankfurt Blockchain Center","https://www.linkedin.com/in/philippsandner/"
"Sylvain Barbezange","Darley Technologies","https://www.linkedin.com/in/sylvain-barbezange-darleytech/"
"Raffaele Cristodaro","UZH Blockchain Center","https://www.linkedin.com/in/raffaele-cristodaro/?originalSubdomain=ch"
"Pedro Lopez","CGO at THORWallet DEX","https://www.linkedin.com/in/pedrolopez90/"
