"media_partners_web_company_name"
"Investing"
"Hyper Growth"
"Bitcoin News Ch"
"Coin Market Alert"
"Coinpedia Fintech News"
"PANews Lab"
"Bullish AFNews"
"Crypto Flies"
"News Moves Markets Forex"
"Finarm"
"Crypto Boom News"
"Popl"
"CBS Crypto Club"
"Fintech News"
"Nulltx"
"The Merkle"
"The VR Soldier"
"Optimisus"
"The Cryptonomist"
"Coinspeaker"
"Cryptonews"
"Hitechies"
"PTRG The Future Of Finance"
"Cryptoslate"
"Ico Holder"
"Coinlive"
"Blockglobe"
"Media Partner"
"Coinsiglieri"
"Ripple"
"Animoca Brands"
"Binance"
"Skynet Trading"
"Huobi Global"
"Cardano"
"Bitmex"
"Fidelity"
"Swissquote"
"Sygnum"
"Velas"
"Coca Cola"
"DWS"
"Vontobelo"
"Intesa San Paolo"
"GSR"
"Boston Consulting Group"
"Deloitte"
"BTC Suisse"
"Crypto Mondays Zurich"
"Universität Zürich"
"Roche"
