employee_Fullname,job_title,company_name,linkedin_urls,count_employee
Josh Cogan,"Lead Client Partner, Banking-as-a-Service",Finastra,https://www.linkedin.com/in/josh-cogan-9b84282a/,13031
Caroline Murphree,"Managing Director, Savings, Investing and Retirement",Moneybox,https://www.linkedin.com/in/caroline-murphree/,320
David Heron,Head of Standards,Pay.UK,https://www.linkedin.com/in/david-heron-a261a2111/?originalSubdomain=uk,333
Colin Fyfe,CEO,Hinckley & Rugby Building Society,https://www.linkedin.com/in/colin-fyfe-2807208/,81
Stephen Richardson,"SVP, Financial Markets Group & Head of APAC",Fireblocks,https://www.linkedin.com/in/stephen--richardson/,475
David Cunningham ,Director of Strategic Partnerships for Digital Assets,Citi,https://www.linkedin.com/in/davidcunninghamireland/,242242
Andy Hirst,"RVP Head of Industries, EMEA North",SAP,https://www.linkedin.com/in/andyhirst/?originalSubdomain=uk,127762
Kevin Mountford,Co-Founder,Raisin UK,https://www.linkedin.com/in/kevin-mountford-561a318/,441
Clare White,Operational Risk & Climate Manager,Hinckley & Rugby Building Society,https://www.linkedin.com/in/clare-white-b7187346/,81
Valentina Kristensen,"Director, Growth and Communications",OakNorth,https://www.linkedin.com/in/valentinakristensen/?originalSubdomain=uk,395
Louis Stewart,"Partner and Head of Technology, Fasanara Digital",Fasanara Capital,https://www.linkedin.com/in/louisstewart/,75
Anthony Calpas,Managing Partner,Karukera Capital,https://www.linkedin.com/in/anthony-calpas/,2
Theodor Cojoianu,Associate Professor in Sustainable Finance,"The University of Edinburgh and Member of the Platform on Sustainable Finance, European Commission",https://www.linkedin.com/in/theodorcojoianu/,429
Anuj Khanna,CEO,Kashkind,https://www.linkedin.com/in/anujkhanna/,2
Diederik Van Wersch,"Director, Mid-Market EMEA",Chainalysis,https://www.linkedin.com/in/diederik-van-wersch-137225a1/?originalSubdomain=uk,817
Julia Mc Coll,Chief Product Officer,Chetwood,https://www.linkedin.com/in/julia-mccoll-80248423/,170
Todd Latham ,CEO ,Divido,https://www.linkedin.com/in/lathamtodd/,82
Christophe Christiaen,"Innovation and Impact Lead, Centre for Greening Finance And Investment",University of Oxford,https://www.linkedin.com/in/christophe-christiaen-55a95171/?originalSubdomain=uk,16486
Emanuele Colonnella,Innovation Activation Manager,Generali,https://www.linkedin.com/in/emcol/?trk=public_profile_browsemap&originalSubdomain=it,50961
Harjas Singh,Co-Founder and Chief Product Officer,Shares,https://www.linkedin.com/in/harjas-singh-7b61a048/,201
Liesl Bebb-Mc Kay,Director,BBD,https://www.linkedin.com/in/liesl-bebb-mckay-35831215/?originalSubdomain=be,1278
Robert Thickett,Digital Policy Manager,Building Societies Association,https://www.linkedin.com/in/robert-thickett-68237210/,29
Dr Mayur P Joshi,Assistant Professor in Financial Technology,"Alliance Manchester Business School, The University of Manchester",https://www.linkedin.com/in/mayurpjoshi/?originalSubdomain=uk,944
Ben Robinson,Co-Founder,Aperture.to,https://www.linkedin.com/in/robinsonben/,23
Sabyasachi Mukherjee,Head of Lending,Monese,https://www.linkedin.com/in/sabya-mukherjee/?originalSubdomain=uk,369
Susan Loftus,Head of Services EMEA,SAP Fioneer,https://www.linkedin.com/in/susan-e-loftus-bb372740/?originalSubdomain=uk,661
Peter Baxendale,Executive Vice President of Sales,Enfuce,https://www.linkedin.com/in/peterbaxendale/?originalSubdomain=uk,141
Robin Lambert,Group Head of Reg/Legal (Digital & Transformation) ,"Virgin Media, O2",https://www.linkedin.com/in/robin-c-lambert/,376
Alexander Allen,Managing Director,Funding Circle,https://www.linkedin.com/in/apjallen/?originalSubdomain=uk,950
Mary Connor,Industry Principal Global Sales,Finastra,https://www.linkedin.com/in/mary-connor-78673b5/,13031
Anuj Agarwal,Data & Analytics Lead,NatWest,https://www.linkedin.com/in/anujxagarwal/,33399
Ilias Tsatalmpasidis,Head of Growth,Superscript,https://www.linkedin.com/in/tsatalmpasidis/,117
Martin Best,CMO,Wirex,https://www.linkedin.com/in/martin-best/,295
Jeremy Laight,Marketing and Communications Director,Lendinvest,https://www.linkedin.com/in/jeremy-laight-globalmarketingdirector/,230
Leeya Hendricks,CMO,Delta Capita,https://www.linkedin.com/in/leeya-hendricks-120b95a/,1146
Nick Fryer,Chief Technology Officer,Dojo,https://www.linkedin.com/in/nickfryer/,993
Hannah McNally,Product Development Manager,Airbus Defence and Space,https://www.linkedin.com/in/hannah-mcnally/,9842
Alastair Graham ,UK Lead ,Sparkgeo,https://www.linkedin.com/in/ajggeoger/,49
Amanda Walker,IT & Administration Officer,Sheffield Credit Union,https://www.linkedin.com/in/amanda-walker-7748a0146/,
Naeem Aslam,"Columnist, Nasdaq","Chief Analyst, AvaTrade",https://www.linkedin.com/in/naeem-aslam-qfa-8bbbb124/,5189
Dr. Daniel Fett,Security Specialist ,yes.com ag,https://www.linkedin.com/in/dr-fett/,23
Michael Anderson,Director & Founder,Convex Foundation,https://www.linkedin.com/in/mike-cvx/,12
Shiv Aggarwal,CEO,EarthId,https://www.linkedin.com/in/shiv-aggarwal/,10
Laura Bright,Senior Product Manager,Saffron Building Society,https://www.linkedin.com/in/laura-bright-6b006322/,151
Marcus Buck,"Head of Marketing, Product & Insight",Saffron Building Society,https://www.linkedin.com/in/marcus-buck/,151
Brad Carr,"Executive, Digital Governance",NAB,https://www.linkedin.com/in/carrbrad/,32066
Sandip Wadje,Global Head of Technology Risk Intelligence,BNP Paribas,https://www.linkedin.com/in/digitaldefender/,181171
Jeremias Buireo,Co-Founder & COO,Olyn,https://www.linkedin.com/in/jere/,13
Mick Mc Ateer,Co-Director,The Financial Inclusion Centre,https://www.linkedin.com/in/mick-mcateer-ba0743154/,4
Sean Kiernan,CEO,Greengage,https://www.linkedin.com/in/sean-kiernan-5996241/,31
Venla Pouru,Director of Strategy & Growth,Enfuce,https://www.linkedin.com/in/venla-pouru-98361947/,141
Margaret Franco,Chief Marketing Officer,Finastra,https://www.linkedin.com/in/margaretfranco/,13031
Sean Henderman,Chief Information Officer,Zilch,https://www.linkedin.com/in/sean-hederman-8ba95710/,268
Naeem Aslam,Chief Strategist,Ava Trade,https://www.linkedin.com/in/naeem-aslam-qfa-8bbbb124/,5189
David Woodward,Senior Partnerships Development Manager,Marqeta,https://www.linkedin.com/in/david-woodward-97ba706/,898
Joy Macknight,"Editor, The Banker",Financial Times,https://www.linkedin.com/in/joy-macknight-1079b112/?originalSubdomain=uk,
Rishi Zaveri ,Co-Founder and Chief Executive Officer,Lendwise,https://www.linkedin.com/in/rishi-z-2a22a7/,19
Maria McCann,Organisational Psychologist - Director of Health Identifiers Service,HSE,https://www.linkedin.com/in/maria-mccann/,25431
Craig Hartnett,"Senior Manager, Financial Services and Monetisation",eBay,https://www.linkedin.com/in/crhartnett/,17317
Jawad Bhatti,Founder,Thought System,https://www.linkedin.com/in/jawad-bhatti-2b8141/,
Tony Greenham,Director,Mutual Banks Association,https://www.linkedin.com/in/tonygreenham/,10
Ghela Boskovich,Regional Director / Head of Europe,Financial Data and Technology Association,https://www.linkedin.com/in/ghelaboskovich/?originalSubdomain=uk,7
Prakash Pattni,"Managing Director, Financial Services Digital Transformation,","IBM Cloud, IBM",https://www.linkedin.com/in/prakashpattni/?originalSubdomain=uk,529516
Yuliia Rokun,"Business Development Specialist, Cloud and AI, EMEA ",IBM,https://www.linkedin.com/in/prakashpattni/?originalSubdomain=uk,529516
Joelle Boehme,"Commercial Lead, Embedded Finance",Adyen,https://www.linkedin.com/in/joelleboehme/,3398
Will Hackett,Head of Fintech Practice,Pangea,https://www.linkedin.com/in/will-hackett/?originalSubdomain=uk,80
Grant Osborn,NPA Standards Collaboration Manager,Pay.UK,https://www.linkedin.com/in/gosbo68/,333
Louise Smith,Chair of the board,Innovate Finance,https://www.linkedin.com/in/louise-smith-70b72a14/?originalSubdomain=uk,40
Steven Bisoffi,"Payments Specialist, Policy and Strategy",Payment Systems Regulator (PSR),https://www.linkedin.com/in/stevenbisoffi/?originalSubdomain=uk,114
Graeme Dean,"VP, Global Insurance Solutions",Cover Genius,https://www.linkedin.com/in/graemedean/,410
Michael Lie ,Head of Digital Asset Trading ,Flow Traders,https://www.linkedin.com/in/michael-lie-47440117/,666
John O'Brien ,SVP Head of Commercial,dLocal,https://www.linkedin.com/in/john-o-brien-6213359a/,703
Martin Tyler,"Head of Innovation Delivery, Global Functions Innovation",HSBC,https://www.linkedin.com/in/martin-tyler-a6312630/?originalSubdomain=uk,217320
Richard Maton,Director,Aperio Strategy,https://www.linkedin.com/in/richard-maton-6b4353/,
 James Leech,Senior Proposition Manager,Fidelity International,https://www.linkedin.com/in/james-leech-b2a7bb83/,9122
