employee_Fullname,job_title,company_name,linkedin_urls,count_employee
Jamie Broadbent,"Head of Digital, Innovation & Design",RBS International,https://www.linkedin.com/in/broadbentjamie/,1329
Saira Khan,Head of Innovation & Partnerships ,First Direct Bank,https://www.linkedin.com/in/sairakhan/,914
Petr Baron,CEO,tbi bank,https://www.linkedin.com/in/baronpetr/,817
Vishal Shah,Head of Embedded Finance,SAP Fioneer,https://www.linkedin.com/in/vishsoh/,661
Colin Hollingsbee ,Chief Information Officer ,The Credit Thing.,https://www.linkedin.com/in/colin-hollingsbee-16ba1516/,33
Steve Round,Founder,SaaScada Ltd,https://www.linkedin.com/in/steve-round-6956876/,13
Maria Harris,Director ,Digital Cat Consultancy Ltd,https://www.linkedin.com/in/mariaharrisdigitalcat/,
George Rodgers,Senior Product Manager,Hargreaves Lansdown,https://www.linkedin.com/in/georgesrodgers/,1575
John Stewart,Global Head of Scouting and Research ,NatWest Group,https://www.linkedin.com/in/johnstewartsf/,33399
Ronan Carter,"Client Partner, Fintech",Google Cloud,https://www.linkedin.com/in/ronancartermcips/,309600
Olivia Minnock,Editor,Fintech Alliance,https://www.linkedin.com/in/olivia-minnock/,13
Cristina Vasile,EMEA - Head of Commercialization,Citi,https://www.linkedin.com/in/cristina-vasile-1294b91bb/,242242
Oliver Lane,Director ,BehindLogin,https://www.linkedin.com/in/oliver-lane1/,
Dylan Navra ,Head of Product - International,Morningstar,https://www.linkedin.com/in/dylan-navra/,11820
Martin Sladecek,Director of Digital Strategic Studies,Societe Generale,https://www.linkedin.com/in/sladecek/,52150
Guillaume Ehny,CISO ,Kroo,https://www.linkedin.com/in/guillaume-e-8b87a134/,132
Steve Pannifer,Managing Director,Consult Hyperion,https://www.linkedin.com/in/steve-pannifer/,49
Manuela Sedvartaite,Innovation Manager,Banco Santander,https://www.linkedin.com/in/manuela-sedvartaite/,798
Jon Hawley,Chief Identity Officer,Unidays,https://www.linkedin.com/in/hawleyjon/,581
Russ Cohn,General Manager,OCR Labs,https://www.linkedin.com/in/russ-cohn-447165/,70
Fabian Eberle,COO & Co-Founder,Keyless,https://www.linkedin.com/in/fabeberle/,61
Dr. Ekaterina Safonova,"Author, Advisor, Professor",Cambridge Judge Business School,https://www.linkedin.com/in/dr-ekaterina-safonova-03959830/,
Isidoro Martinez,CEO ,Tecalis,https://www.linkedin.com/in/isidoroms/,44
Jessica Figueras,Vice Chair,UK Cyber Security Council,https://www.linkedin.com/in/jessicafigueras/,13
Iana Dimitrova,CEO ,OpenPayd,https://www.linkedin.com/in/iana-dimitrova-575b291b/,143
Ronan O'Dea ,Head of Product ,Validis,https://www.linkedin.com/in/ronan-o-dea-77715256/,59
Miroslava Betinova,Head of Fintech,Griffin,https://www.linkedin.com/in/miroslava-betinova-17b85322/,58
Tamara Kostova,CEO ,Velexa,https://www.linkedin.com/in/tamara-kostova-0818001/,17
NickJones,CEO,Zumo Enterprise,https://www.linkedin.com/in/nick-jones-102323/,48
William Carroll,CEO,Monmouthshire Building Society,https://www.linkedin.com/in/will-carroll-2b10a4106/,170
Gerard Hurley ,Chief Risk Officer,Chip,https://www.linkedin.com/in/gerard-hurley-5b2614/,149
Felipe Martinez,CIO ,Revolut,https://www.linkedin.com/in/felipe-penacoba/,5788
Claire Maillet ,Head of Financial Crime Operations,Ziglu,https://www.linkedin.com/in/clairemaillet/,81
Francois-Julien Alcaraz,CEO ,Cryptosimple,https://www.linkedin.com/in/alcarazfj/,11
Benedikt Goetz,"General Manager, UK & Europe",Metallicus,https://www.linkedin.com/in/benedikt-goetz/,156
Nicky Hickman,Advisor,cheqd.io,https://www.linkedin.com/in/nickyhickman/,16
Zahoor Ahmad ,"Head of Social Mobility, Inclusion and Belonging ",Co-Op,https://www.linkedin.com/in/zahoor-ahmad-b5260251/,14795
Flavia Kenyon,Chief Legal Counsel,Cyber Security Global Alliance,https://www.linkedin.com/in/flavia-kenyon-3aa8532a/,27
Elliot Goykhman,Founder & Chief Executive Officer,Zelf,https://www.linkedin.com/in/goykhman/,15
Emma Norledge,Deputy CEO ,Wave Community Bank,https://www.linkedin.com/in/emma-norledge-creditunion/,17
John Scrivens ,Intermediary Development & Leadership Professional,Skipton Building Society,https://www.linkedin.com/in/john-s-4605bb34/,1549
Mark Haine ,eKYC & IDA Working Group Co-Chair,Open ID Foundation,https://www.linkedin.com/in/mark-haine/,3
Bhavna Saraf," Head of Group Payments, Partnership & Strategy",Lloyds Banking Group,https://www.linkedin.com/in/bhavna-saraf-01b82915/,4811
Henk  Marsmann,Digital Identity Thinker and Principal Consultant,SonicBee,https://www.linkedin.com/in/henkmarsman/,25
Terrie Smith,Co-Founder & Chief Executive Officer,DIGISEQ,https://www.linkedin.com/in/terriesmith/?originalSubdomain=uk,20
Jonathan Evans,National Accounts Lead,Skipton Building Society,https://www.linkedin.com/in/jonathan-evans-cemap-dipmap/,1549
Emanuele Colonnella ,Innovation Activation Manager,Generali,https://www.linkedin.com/in/emcol/,50961
Matt Bland,CEO ,The Co-Op Credit Union,https://www.linkedin.com/in/matt-bland-78505b145/,3
Luca Bertalot,Secretary General,EMF-ECBC,https://www.linkedin.com/in/luca-bertalot-6320082/,22
Jennifer Johnson,Deputy Secretary General ,EMF-ECBC,https://www.linkedin.com/in/jennifer-johnson-8307391/,22
Donal Traynor ,Group CEO,Community Finance Ireland,https://www.linkedin.com/in/donaltraynor/,16
Gary Clarke,CIO & Co-Founder,Old Street Digital,https://www.linkedin.com/in/gary-clarke-50588047/,5
Paul Ridley ,CEO and Co-Founder,Old Street Digital,https://www.linkedin.com/in/paul-ridley/,5
Caroline Hughes,Co-Founder & CEO ,Lifetise,https://www.linkedin.com/in/caroline-hughes-46494915/,4
Isaac Robertson-Jonas,Senior Product Manager,Finder,https://www.linkedin.com/in/isaacrj/,534
Conor McCarthy,Head of Proposition Design and Innovation,Bank of Ireland,https://www.linkedin.com/in/conorsmccarthy/?originalSubdomain=ie,9917
Jamie Allsop,CEO,clearpool.io,https://www.linkedin.com/in/jamieallsop/,12
Michael Shea,Managing Director,Wider Team,https://www.linkedin.com/in/michaelxshea/,4
Fraser King,"Head of Commercial Strategy, Vodafone Identity Hub",Vodafone,https://www.linkedin.com/in/kingfraser/,8076
Laura Camplisson,Future Identity Portfolio Lead,VC Innovations,https://www.linkedin.com/in/laura-camplisson-b46790150/,27
Tarun Sachdeva,Chief Strategy Officer,Ziglu,https://www.linkedin.com/in/tarun-s-62528a5/,81
Simon Ware,Associate Director of Innovation,Aztec Group,https://www.linkedin.com/in/waresimon/,1341
