"name","sku","product_code","image","description","model","brand","manufacture_number","category","price","old_price","currency","price_display","rating","review_count","colors_type","size_wise_price","color_wise_price","page_url"
"mens camp crystal lake t shirt funny shirts camping vintage horror novelty tees (red) - l","476290616","643131139753","https://i5.walmartimages.com/asr/620744af-5ba3-41b9-804a-0eae448ae017_1.18670fb0f60f28747d71cc8a3ffa0a78.jpeg","Camp Crystal Lake Counselor shirt.  !  I was a camp counselor but let me tell you, nothing bad happened at my camp, at least not on my watch! Mens Camp Crystal Lake T shirt Funny Graphic Camping Vintage Adult Novelty Tees (Heather Red) - L horror scary jason vorhees friday the 13th . This is a L Heather Red mens t-shirts sold by Crazy Dog T-Shirts","99campcrystalRED-L","Crazy Dog T-Shirts","99campcrystalRED-L","Party & Occasions, Halloween, Halloween Themed Clothing","18.99","","USD","$18.99","4","22","Black, Blue, Gray, Heather Gay, Heather Gray, Heather Royal, Navy, Red","S: $20.99, M: $16.99, L: $20.99, XL: $16.99, XXL: $16.99, 2XL: $16.99, 3XL: $18.99, 4XL: $20.99, 5XL: $16.99","Black: $16.99, Blue: $16.99, Gray, Heather Gay, Heather Gray: $16.99, Heather Royal, Navy: $16.99, : Red: $18.99","https://www.walmart.com/ip/mens-camp-crystal-lake-t-shirt-funny-shirts-camping-vintage-horror-novelty-tees-red-l/476290616"
"Athletic Works Men's Fleece Full Zip Hoodie Jacket, Sizes S-3XL","985756922","194422100735","https://i5.walmartimages.com/asr/7f51743e-007b-423a-bcf2-f6171dd2bb12.f979ffdecccec3de9677790fc415d30c.jpeg","Your hoodie game is strong with this versatile, comfortable Full-Zip Hoodie from Athletic Works. This men’s hoodie sweatshirt is crafted in ring spun cotton-blend fabric and pairs perfectly with jeans for a casual outing or sweatpants for your next workout. Wicking and odor protection helps keep you cool, dry and comfy when you’re on the move!","A34000M","Athletic Works","PI.A34000M.JQT.L.0.0","Clothing, Mens Clothing, Mens Activewear, Mens Athletic Sweatshirts","12.98","","USD","$12.98","4.3","250","Black Heather, Blue Cove, Blue Heather, Brilliant Red, Rich Black, Smoky Olive","S: $12.98, M: $12.98, L: $12.98, XL: $12.98, 2XL: $12.98, 3XL: $12.98","Black Heather: $12.98, Blue Cove: $12.98, : Blue Heather: $12.98, Brilliant Red: $12.98, Rich Black: $12.98, Smoky Olive: $12.98","https://www.walmart.com/ip/Athletic-Works-Men-s-Fleece-Full-Zip-Hoodie-Jacket-Sizes-S-3XL/985756922?athbdg=L1600"
"U.S. Polo Assn. Men's Fleece Full Zip Fleece Hoodie","791909622","786660436549","https://i5.walmartimages.com/asr/0ff2e48c-aae5-4826-a465-d6765ca0dc48.2b5d22aa4002b9583e4191426b2cbdf8.jpeg","short description is not available","","U.S. Polo Assn.","","Clothing, Mens Clothing, Mens Shirts, Mens Polo Shirts","24","","USD","$24.00","","28","Black, Blue, Campus Gray Heather, Campus Gray Heatjer, Classic Navy, Khaki, Lapis Blue, Outdoor Khaki, Rhythmic Red, Rhythmic Red&nbsp;, Winter Green, Winter Tree","XS: $24.00, S: $24.00, M: $24.00, L: $24.00, XL: $24.00, 2XL: $24.00, 3XL: $24.00","Black, : Blue: $24.00, Campus Gray Heather: $24.00, Campus Gray Heatjer, Classic Navy, Khaki: $24.00, Lapis Blue, Outdoor Khaki, Rhythmic Red","https://www.walmart.com/ip/U-S-Polo-Assn-Men-s-Fleece-Full-Zip-Fleece-Hoodie/791909622?athbdg=L1600"
"George Men's Fleece Hoodie, Sizes XS-3XL","1236296231","196203054619","https://i5.walmartimages.com/asr/dae38efb-64be-458d-8bd0-f73068dedef9.984ffd1d2617b719cf9dbf8babda2e00.jpeg","Stay warm while you chill in this George Men's Fleece Hoodie. This cotton-blend knit hoodie is perfect on its own to face the dipping temps but it can also serve as a base layer that will cozily carry you through the cold weather season. Cuffing at the sleeves and waistband help to trap in body heat as the front kangaroo pocket and drawstring cord completes this casual style. Exclusively at Walmart.","","George","","Clothing, Mens Clothing, Mens Sweatshirts and Hoodies, Mens Hoodies","16.98","","USD","$16.98","","13","Ash Heather, Black Soot Heather, Navy Heather, Royal Heather","XS: $16.98, S: $16.98, M: $16.98, L: $16.98, XL: $16.98, 2XL: $16.98, 3XL: $16.98",": Ash Heather: $16.98, Black Soot Heather: $16.98, Navy Heather: $16.98, Royal Heather: $16.98","https://www.walmart.com/ip/George-Men-s-Fleece-Hoodie-Sizes-XS-3XL/1236296231"
"Free Assembly Men's Pullover Sweatshirt with Raglan Sleeves","376445330","889424172858","https://i5.walmartimages.com/asr/04ef9aec-efbe-4322-8aff-7b8d30be258b.8a9a8c68390494cc8ea539cebf311d88.jpeg","A cold-weather classic made cool. Free Assembly takes the Pullover Sweatshirt and borrows elements from the hoodie for a versatile update. We’re talking about the front kangaroo pocket pulling double duty—holding essentials and keeping hands warm. This men’s sweatshirt is finished in soft, cozy fleece and easily layers over lightweight tops for added warmth and style. Exclusively at Walmart.","","Free Assembly","","Clothing, Fashion Brands, Free Assembly, Men's Shop All Free Assembly, Men's Sweatshirts & Sweaters Free Assembly","14","$28.00","USD","$14.00","","0","Mood Indigo, Purple Pennant, Valiant Poppy","XS: $14.00, S: $14.00, M: $14.00, L: $14.00, XL: $14.00, 2XL: $14.00, 3XL: $14.00",": Mood Indigo: $14.00, Purple Pennant: $14.00, Valiant Poppy: $14.00","https://www.walmart.com/ip/Free-Assembly-Men-s-Pullover-Sweatshirt-with-Raglan-Sleeves/376445330?athbdg=L1400"
"GBH Mens Regular Fit Heavyweight Sherpa Fleece Lined Hoodie (S-2XL)","775583132","","https://i5.walmartimages.com/asr/c91e9e8e-2214-4e11-bb35-12c86f68510e.91af8ac9d0e98acd64df9cfeb1d13172.jpeg","Heavyweight Poly Tech Sherpa Fleece-Lined Hoodie Sweater. It’s a Regular-Fit Design With a Dual Kangaroo Pocket. They have a Chest Pocket With Zipper Closure & 2-Side Pockets With Zipper Closure. They have a Hoodie With Drawstring & Elastic Piping. There is Elasticized Piping on Sleeves & is Full-Zip Closure.Materials: (Outer Fabric: 60% Cotton, 40% Polyester), (Inner Fabric: 100% Polyester), (Piping: 97% Cotton, 3% Spandex). Care Instructions: Machine Wash Cold","","GBH","MMSHP-10-HG - L","Clothing, The Basics Shop, Mens Basics, Mens Basic Tees & Sweatshirts, Men's Basic Sweatshirts","22.97","$98.50","USD","$22.97","4.1","1196","Black Classic, Charcoal Classic, Classic Black, Classic Charcoal, Classic Heather Grey, Classic Navy, Classic Olive, Navy, Navy Classic, Womens - Blue Snowman","S: $22.97, M: $22.97, L: $22.97, XL: $22.97, 2XL: $19.99, 3XL: $22.97","Black Classic: $19.99, Charcoal Classic: $19.99, Classic Black: $22.97, Classic Charcoal: $22.97, : Classic Heather Grey: $22.97, Classic Navy: $22.97, Classic Olive: $22.97, Navy, Navy Classic: $19.99, Womens - Blue Snowman: $22.97","https://www.walmart.com/ip/GBH-Mens-Regular-Fit-Heavyweight-Sherpa-Fleece-Lined-Hoodie-S-2XL/775583132"
"Signature by Levi Strauss & Co. Men's Slim Fit Taper Jeans","953077125","195339920041","https://i5.walmartimages.com/asr/5267f432-a773-4fdb-88b7-5294388dea19.69523ad2a0c98c9626228a96f24345d5.jpeg","Signature by Levi Strauss & Co. Men’s Athletic Fit Hybrid Chinos offer a modern fit and all-day comfort. Crafted from engineered Premium Flex twill fabric that moves with you, these chinos are relaxed through the seat and thigh and tapered from knee to ankle.","A0500-0003","Signature by Levi Strauss & Co.","A0500-0003","Clothing, Mens Clothing, Mens Jeans, Mens Jeans","27.38","","USD","$27.38","","30","Bryce, Gothic 3D, In Living Color, Pick Up And Go","28x30: $27.99, 29x30: $27.99, 30x30: $27.99, 30x32: $25.28, 32x30: $27.38, 32x32: $24.99, 34x30: $24.45, 34x32: $23.90, 36x30: $27.38, 36x32: $27.99, 38x29: $30.99, 38x30: $27.99","Bryce: $27.38, Gothic 3D: $27.99, : In Living Color: $27.38, Pick Up And Go: $30.99","https://www.walmart.com/ip/Signature-by-Levi-Strauss-Co-Men-s-Slim-Fit-Taper-Jeans/953077125"
"George Men's and Big Men's Faux Sherpa Fleece Jacket, up to Size 5XL","555026094","884968354135","https://i5.walmartimages.com/asr/6bb9d3fc-ff63-4317-8ff9-8398fa482f23.7754a960cfbef912a4a60354b358acbf.jpeg","Zip up, go and add some warmth with this Faux Sherpa Fleece Jacket from George, a convenient, comfortable piece to add to your outerwear for in-between days and nights. Layer it over your favorite tee or shirt and pair it with jeans or joggers for a complete cool-casual style. Exclusively at Walmart.","GE33100076929","George","GE33100076929","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","22.98","","USD","$22.98","4.5","19","Black Soot, Black Soot/Charcoal Grey Heather, Blue Indigo, Charcoal Sky / Red Mark, Chocolate / Trailblazer Brown, Green Midnight, Med Grey Htr / Dark Navy, Medium Grey Heather","S: $22.98, M: $22.98, L: $22.98, XL: $22.98, 2XL: $22.98, 3XL: $22.98, 4XL: $22.98, 5XL: $22.98","Black Soot: $22.98, Black Soot/Charcoal Grey Heather: $22.98, Blue Indigo: $22.98, Charcoal Sky / Red Mark: $22.98, Chocolate / Trailblazer Brown: $22.98, Green Midnight: $22.98, Med Grey Htr / Dark Navy: $22.98, : Medium Grey Heather: $22.98","https://www.walmart.com/ip/George-Men-s-and-Big-Men-s-Faux-Sherpa-Fleece-Jacket-up-to-Size-5XL/555026094"
"George Men's Faux Suede Bomber Jacket","877432175","889424171462","https://i5.walmartimages.com/asr/9597dbe9-e7ff-40a5-9bcd-9f6bccea49cb.ff3cda1384358e0cb967c1617b798601.jpeg","Smooth faux suede highlights this Men’s Bomber Jacket from George. Lined with faux sherpa fleece for added warmth, this men’s bomber jacket features a ribbed knit hem and cuffs to closely fit the body and help keep out the chill. The best part: spacious front pockets hold essentials when you’re out for an activity-filled day. Exclusively at Walmart.","GE33100076946S","George","GE33100076946S","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","35.98","$45.98","USD","$35.98","","1","Black Soot, Stone Wash","S: $45.98, M: $35.98, L: $35.98, XL: $45.98, 2XL: $35.98, 3XL: $35.98","Black Soot: $35.98, : Stone Wash: $35.98","https://www.walmart.com/ip/George-Men-s-Faux-Suede-Bomber-Jacket/877432175?athbdg=L1300"
"Lands' End Men's Insulated Quilted Primaloft ThermoPlume Coat","1336192057","195926497239","https://i5.walmartimages.com/asr/10ce03b0-a8b8-4ee8-b11c-ce01d492d94f.3bbd3c0ef0fae64bd5a31d8ea6ec9759.jpeg","The go-to quilted coat you’ll find essential throughout the season. This lightweight quilted coat is water resistant and filled with insulation made from recycled plastic bottles. PrimaLoft® ThermoPlume® insulation is a lightweight, down alternative with some impressive properties. Added features include adjustable hood, storm cuffs, and a raised collar. Not only is it warm and lightweight, but it’s easily compacted, so you can throw it in your bag and it'll pop back out as good as new. Plus, it’s guaranteed to stay warm and fluffy (not bulky) even when wet.","","Lands' End","","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","117.57","$167.96","USD","$117.57","","0","Men","Deep Sea Navy: $117.57, Forest Moss: $117.57",": Men: $117.57","https://www.walmart.com/ip/Lands-End-Men-s-Insulated-Quilted-Primaloft-ThermoPlume-Coat/1336192057"
